WELSPUNL IN Equity,price,volume,mc,pe,bm,div
2016-06-30,108.9,26729170.0,109414.5764,14.8568,5.5539,1.3
2016-07-31,102.35,25984081.0,102833.6262,13.9632,5.2198,1.3
2016-08-31,48.7,317641812.0,48930.1182,6.6439,2.4837,1.3
2016-09-30,52.5,206988936.0,52748.074,7.1623,2.6775,1.3
2016-10-31,58.0,81646139.0,58274.0627,7.9127,2.958,0.65
2016-11-30,69.65,122845521.0,69979.1116,9.502,3.5521,0.65
2016-12-31,66.85,45070073.0,67165.8809,9.1201,3.4093,0.65
2017-01-31,76.2,35379021.0,76560.0617,10.3956,3.8862,0.65
2017-02-28,89.15,62876837.0,89571.2533,12.1623,4.5466,0.65
2017-03-31,87.75,31860735.0,88164.638,24.6489,3.6779,0.05
2017-04-30,95.35,35390985.0,95800.5497,26.7837,3.9964,0.05
2017-05-31,81.6,31075825.0,81985.5779,22.9213,3.4201,0.05
2017-06-30,82.7,20287899.0,83090.7757,23.2303,3.4662,0.65
2017-07-31,82.2,25259674.0,82588.4131,23.0899,3.4453,0.65
2017-08-31,77.55,13897797.0,77916.4408,21.7837,3.2504,0.65
2017-09-30,68.35,13173430.0,68672.9688,19.1994,2.8648,0.65
2017-10-31,67.0,30859597.0,67316.5897,18.8202,2.8082,0.65
2017-11-30,71.7,61032825.0,72038.7965,20.1404,3.0052,0.65
2017-12-31,71.4,45478887.0,71737.3789,20.0562,2.9926,0.65
2018-01-31,69.05,184528343.0,69376.2747,19.3961,2.8941,0.65
2018-02-28,64.5,34447918.0,64804.7722,18.118,2.7034,0.65
2018-03-31,58.05,24482589.0,58324.295,15.1567,2.2384,0.65
2018-04-30,57.25,62354805.0,57520.5148,14.9478,2.2075,0.65
2018-05-31,62.7,55277295.0,62996.2669,16.3708,2.4177,0.65
2018-06-30,54.15,27783140.0,54405.8669,14.1384,2.088,0.65
2018-07-31,56.9,41358701.0,57168.861,14.8564,2.194,0.65
2018-08-31,75.25,86703611.0,75605.5675,19.6475,2.9016,0.65
2018-09-30,58.55,51973087.0,58826.6575,15.2872,2.2576,0.65
2018-10-31,58.95,39100826.0,59228.5476,15.3916,2.2731,0.65
2018-11-30,60.85,13746700.0,61137.5254,15.8877,2.3463,0.65
2018-12-31,59.8,8712271.0,60082.564,15.6136,2.3058,0.65
2019-01-31,60.2,14351817.0,60484.454,15.718,2.3213,0.65
2019-02-28,51.55,20606813.0,51793.5815,13.4595,1.9877,0.65
2019-03-31,59.65,20216433.0,59931.8552,28.5407,2.1563,0.65
2019-04-30,53.25,16658967.0,53501.6142,25.4785,1.925,0.65
2019-05-31,55.1,22024587.0,55360.3558,26.3636,1.9919,0.65
2019-06-30,57.4,17823254.0,57671.2236,27.4641,2.075,0.65
2019-07-31,50.0,17325792.0,50236.2575,23.9234,1.8075,0.3
2019-08-31,50.25,8628357.0,50487.4388,24.0431,1.8165,0.3
2019-09-30,52.65,11016980.0,52898.7713,25.1914,1.9033,0.3
2019-10-31,55.85,17393816.0,56113.8913,26.7225,2.019,0.3
2019-11-30,52.8,10443901.0,53049.48,25.2632,1.9087,0.3
2019-12-31,48.0,7812552.0,48226.8,22.9665,1.7352,0.3
2020-01-31,43.05,28554732.0,43253.4177,20.5981,1.5563,0.3
2020-02-29,41.3,128889340.0,41495.1487,19.7608,1.493,0.3
2020-03-31,21.6,46286064.0,21702.0632,4.2772,0.7302,1.0
2020-04-30,26.3,19229961.0,26424.2714,5.2079,0.8891,1.0
2020-05-31,31.15,12069868.0,31297.1884,6.1683,1.053,1.0
2020-06-30,37.1,25841419.0,37275.3031,7.3465,1.2542,1.0
2020-07-31,39.2,37451851.0,39385.2259,7.7624,1.3252,1.0
2020-08-31,54.45,40724437.0,54707.2844,10.7822,1.8407,1.0
2020-09-30,67.0,36219954.0,67316.5851,13.2673,2.265,1.0
2020-10-31,69.85,34565500.0,70180.0549,13.8317,2.3613,1.0
2020-11-30,68.65,14681321.0,68974.3846,13.5941,2.3208,1.0
2020-12-31,67.9,22674910.0,68220.8407,13.4455,2.2954,1.0
2021-01-31,66.1,19417158.0,66412.3354,13.0891,2.2346,1.0
2021-02-28,69.2,19255817.0,69526.9835,13.703,2.3394,1.0
2021-03-31,80.85,68708302.0,81232.032,15.0559,2.2288,1.0
2021-04-30,79.5,33784579.0,79875.653,14.8045,2.1916,1.0
2021-05-31,88.95,112803919.0,89370.3061,16.5642,2.4521,0.15
2021-06-30,96.4,71678568.0,96855.5088,17.9516,2.6574,0.15
2021-07-31,133.45,167511892.0,131856.4047,24.851,3.6788,0.15
2021-08-31,126.9,36527712.0,125384.6216,23.6313,3.4982,0.15
2021-09-30,169.3,129665775.0,167278.3013,31.527,4.6671,0.15
2021-10-31,137.7,67111687.0,136055.6532,25.6425,3.796,0.15
2021-11-30,137.9,41567616.0,136253.2649,25.6797,3.8015,0.15
2021-12-31,145.5,37259680.0,143762.5094,27.095,4.011,0.15
2022-01-31,141.95,46543656.0,140254.9018,26.4339,3.9131,0.15
2022-02-28,104.9,39761770.0,103647.335,19.5345,2.8918,0.15
2022-03-31,90.85,56690132.0,89765.1133,14.9917,2.2601,0.15
2022-04-30,83.1,52324136.0,82107.66,13.7129,2.0673,0.15
2022-05-31,65.35,79617675.0,64569.6219,10.7838,1.6258,0.15
2022-06-30,69.45,67019843.0,68620.6617,11.4604,1.7277,0.15
2022-07-31,69.8,32793019.0,68966.4822,11.5182,1.7365,0.15
2022-08-31,77.0,31731929.0,76080.5033,12.7063,1.9156,0.15
2022-09-30,73.65,44617719.0,72770.5074,12.1535,1.8322,0.15
2022-10-31,78.35,16414704.0,77414.3823,12.929,1.9492,0.15
2022-11-30,81.95,26008012.0,80971.3928,13.5231,2.0387,0.15
2022-12-31,77.1,27975217.0,76179.3092,12.7228,1.9181,0.15
2023-01-31,67.2,13464992.0,66397.5302,11.0891,1.6718,0.15
2023-02-28,66.45,23751256.0,65656.4863,10.9653,1.6531,0.15
2023-03-31,63.65,22928747.0,62889.9226,31.5099,1.5233,0.15
2023-04-30,87.6,48874776.0,86553.9233,43.3663,2.0964,0.15
2023-05-31,92.15,113333694.0,91049.5893,45.6188,2.2053,0.15
2023-06-30,92.45,63506580.0,91346.0068,45.7673,2.2125,0.1
2023-07-31,109.65,105229159.0,108340.6128,54.2822,2.6241,0.1
2023-08-31,124.85,107410704.0,121330.2892,61.8069,2.9879,0.1
2023-09-30,121.45,37709018.0,118026.1404,60.1238,2.9065,0.1
2023-10-31,150.4,198982683.0,146159.996,74.4554,3.5994,0.1
2023-11-30,156.95,121683912.0,152525.3416,77.698,3.7561,0.1
2023-12-31,144.45,48577663.0,140377.7355,71.5099,3.457,0.1
2024-01-31,163.8,83419282.0,159182.2297,81.0891,3.92,0.1
2024-02-29,154.75,81778847.0,150387.3629,76.6089,3.7035,0.1
2024-03-31,137.6,41309390.0,133720.8474,19.4901,2.9314,0.1
2024-04-30,149.9,55138592.0,145674.0918,21.2323,3.1934,0.1
2024-05-31,136.35,27693826.0,132506.0868,19.313,2.9048,0.1
2024-06-30,153.66,51760524.0,149328.0917,21.7649,3.2735,0.1
2024-07-31,183.53,154722087.0,178356.0111,25.9958,3.9099,0.1
2024-08-31,192.99,176882195.0,187549.3193,27.3357,4.1114,0.1
2024-09-30,163.67,89340404.0,156984.492,23.1827,3.4868,0.1
2024-10-31,152.21,87902091.0,145992.6042,21.5595,3.2427,0.1
2024-11-30,152.5,31156013.0,146270.7584,21.6006,3.2488,0.1
2024-12-31,156.79,77287869.0,150385.5227,22.2082,3.3402,0.1
2025-01-31,137.71,59587960.0,132084.8927,19.5057,2.9337,0.1
2025-02-28,106.92,39228946.0,102552.5868,15.1445,2.2778,0.1
2025-03-31,135.12,111165026.0,129600.6877,20.1672,2.6608,0.1
2025-04-30,127.22,70174693.0,122023.3828,18.9881,2.5053,0.1
2025-05-31,132.66,355472110.0,127241.1725,19.8,2.6124,0.1
2025-06-30,143.34,156401870.0,137484.9214,21.394,2.8227,1.7
2025-07-31,126.08,96409718.0,120929.949,18.8179,2.4828,1.7
2025-08-31,109.32,53720559.0,104854.5528,16.3164,2.1528,1.7
2025-09-30,114.7,143829840.0,110014.7934,17.1194,2.2587,1.7
2025-10-31,129.65,67169666.0,124354.1234,19.3507,2.5531,1.7
2025-11-30,148.82,142709059.0,142741.0771,22.2119,2.9306,1.7
2025-12-31,130.57,99491814.0,125236.5438,19.4881,2.5712,1.7
2026-01-31,123.93,43213745.0,118867.7711,18.497,2.4405,1.7
2026-02-28,125.33,137386514.0,120210.5846,18.706,2.468,1.7
2026-03-31,121.9,6304988.0,116920.6929,18.194,2.4005,1.7
