MM IN Equity,price,volume,mc,pe,bm,div
2008-07-31,130.69,49164828.0,128462.6777,7.9397,2.0273,2.875
2008-08-31,144.66,29598228.0,142199.7675,8.7887,2.244,2.875
2008-09-30,127.38,41511924.0,125206.5697,7.7385,1.9759,2.875
2008-10-31,93.63,75471688.0,96835.2106,5.688,1.4523,2.875
2008-11-30,70.2,39615588.0,72607.0151,4.2649,1.089,2.875
2008-12-31,68.63,80780332.0,70978.0115,4.1692,1.0645,2.875
2009-01-31,75.56,61121676.0,78153.3843,4.5907,1.1721,2.875
2009-02-28,77.93,79537352.0,80596.8896,4.7342,1.2088,2.875
2009-03-31,95.91,141422656.0,106970.7944,7.4394,1.4851,2.875
2009-04-30,121.99,118314096.0,136052.1286,9.4619,1.8889,2.875
2009-05-31,167.23,103807068.0,186505.3158,12.9707,2.5893,2.875
2009-06-30,172.81,140333224.0,192737.0303,13.4041,2.6759,2.875
2009-07-31,214.76,147919992.0,239523.683,16.6579,3.3254,2.5
2009-08-31,215.91,157325888.0,240806.273,16.7471,3.3432,2.5
2009-09-30,220.8,121745508.0,246257.2805,17.1262,3.4189,2.5
2009-10-31,230.49,129584196.0,257061.7071,17.8776,3.5689,2.5
2009-11-30,257.34,106092580.0,288036.7454,19.9602,3.9846,2.5
2009-12-31,270.21,73194904.0,302447.677,20.9589,4.184,2.5
2010-01-31,254.39,104557984.0,284734.8233,19.7314,3.939,2.5
2010-02-28,251.94,71799104.0,291461.364,19.5414,3.901,2.5
2010-03-31,270.68,97898592.0,313138.4953,12.0087,3.0165,2.5
2010-04-30,263.08,100370272.0,304346.1109,11.6715,2.9318,2.5
2010-05-31,286.35,96521026.0,331272.4845,12.7041,3.1912,2.5
2010-06-30,313.68,94008156.0,362884.2207,13.9164,3.4957,2.5
2010-07-31,330.75,82667862.0,382637.9405,14.6739,3.686,4.75
2010-08-31,313.35,70546754.0,362764.5529,13.902,3.4921,4.75
2010-09-30,345.75,69985790.0,400273.9562,15.3394,3.8532,4.75
2010-10-31,366.85,85601978.0,430696.1405,16.2755,4.0883,4.75
2010-11-30,382.65,100042082.0,456568.1055,16.9765,4.2644,4.75
2010-12-31,389.1,83884006.0,464264.079,17.2626,4.3363,4.75
2011-01-31,356.68,86842144.0,425575.4058,15.8241,3.9749,4.75
2011-02-28,307.88,109975084.0,378033.6317,13.6591,3.4311,4.75
2011-03-31,350.18,92469582.0,429972.9662,13.1004,2.8793,4.75
2011-04-30,378.2,56698814.0,464384.3102,14.1489,3.1097,4.75
2011-05-31,336.05,86139292.0,412652.5401,12.572,2.7631,4.75
2011-06-30,350.95,71036030.0,430948.9925,13.1294,2.8857,4.75
2011-07-31,360.38,56123562.0,442522.4197,13.482,2.9631,5.75
2011-08-31,369.08,113522672.0,453205.5832,13.8075,3.0347,5.75
2011-09-30,402.38,100397014.0,494096.3125,15.0533,3.3085,5.75
2011-10-31,432.68,55757652.0,531303.1923,16.1869,3.5576,5.75
2011-11-30,362.6,94402924.0,445254.608,13.5653,2.9814,5.75
2011-12-31,340.9,87877260.0,418608.0967,12.7535,2.803,5.75
2012-01-31,336.9,117697742.0,413696.2974,12.6038,2.7701,5.75
2012-02-29,354.93,131896520.0,435830.0931,13.2782,2.9183,5.75
2012-03-31,350.1,119809836.0,429905.2352,13.1666,2.4691,5.75
2012-04-30,355.03,56349886.0,435952.8881,13.3518,2.5039,5.75
2012-05-31,326.3,68324708.0,400680.0292,12.2715,2.3013,5.75
2012-06-30,353.63,51166510.0,434237.9024,13.2992,2.494,5.75
2012-07-31,350.43,50057840.0,430308.4254,13.1788,2.4714,6.25
2012-08-31,381.58,46800718.0,468559.4276,14.3503,2.6911,6.25
2012-09-30,432.35,58042196.0,530909.1752,16.2599,3.0492,6.25
2012-10-31,442.23,59823694.0,543035.2955,16.6313,3.1189,6.25
2012-11-30,473.5,52155078.0,581439.7929,17.8074,3.3394,6.25
2012-12-31,465.83,46398240.0,572015.188,17.5188,3.2853,6.25
2013-01-31,444.63,54022816.0,545982.4032,16.7215,3.1358,6.25
2013-02-28,436.85,58908240.0,536435.0022,16.4291,3.0809,6.25
2013-03-31,430.65,62847780.0,528821.6406,12.391,2.5472,6.25
2013-04-30,462.05,50354982.0,567379.6332,13.2945,2.733,6.25
2013-05-31,483.78,56840626.0,594057.0978,13.9196,2.8615,6.25
2013-06-30,485.3,51346774.0,597785.1586,13.9635,2.8705,6.25
2013-07-31,455.7,63434756.0,561324.3288,13.1118,2.6954,6.5
2013-08-31,391.63,80828596.0,482397.7184,11.2682,2.3164,6.5
2013-09-30,413.73,64834394.0,509620.1623,11.904,2.4471,6.5
2013-10-31,443.93,51961720.0,546820.0629,12.773,2.6258,6.5
2013-11-30,472.63,49225080.0,582172.2864,13.5988,2.7955,6.5
2013-12-31,472.1,32830282.0,581525.5994,13.5837,2.7924,6.5
2014-01-31,445.1,42935286.0,548267.41,12.8068,2.6327,6.5
2014-02-28,487.25,36594258.0,600187.1389,14.0196,2.882,6.5
2014-03-31,490.35,50522042.0,604005.6718,12.4045,2.4839,6.5
2014-04-30,537.1,37660480.0,661591.5722,13.5871,2.7208,6.5
2014-05-31,617.75,69668390.0,760935.054,15.6274,3.1293,6.5
2014-06-30,573.6,42515168.0,706551.7171,14.5105,2.9057,6.5
2014-07-31,600.83,79688678.0,740087.0965,15.1992,3.0436,7.0
2014-08-31,703.6,47327078.0,866683.7398,17.7991,3.5642,7.0
2014-09-30,680.4,45186878.0,845182.5866,17.2122,3.4467,7.0
2014-10-31,653.1,33925204.0,811270.8635,16.5216,3.3084,7.0
2014-11-30,661.88,47608962.0,822171.0741,16.7436,3.3528,7.0
2014-12-31,617.22,37053102.0,766707.4833,15.6141,3.1267,7.0
2015-01-31,632.55,43658410.0,785744.0044,16.0018,3.2043,7.0
2015-02-28,645.97,65599478.0,802419.7447,16.3414,3.2723,7.0
2015-03-31,593.9,48761662.0,737733.6001,22.3607,2.7168,7.0
2015-04-30,572.5,39825676.0,711150.8063,21.555,2.6189,7.0
2015-05-31,629.05,37042432.0,781396.3575,23.6841,2.8776,7.0
2015-06-30,641.17,38385556.0,796457.8484,24.1406,2.933,7.0
2015-07-31,681.8,38774070.0,846921.6065,25.6702,3.1189,6.0
2015-08-31,610.45,44247040.0,758291.72,22.9838,2.7925,6.0
2015-09-30,631.9,65019248.0,784936.6231,23.7914,2.8906,6.0
2015-10-31,591.8,50265284.0,735124.9732,22.2816,2.7072,6.0
2015-11-30,682.75,44367086.0,848101.6821,25.7059,3.1232,6.0
2015-12-31,636.17,46446694.0,790246.9243,23.9524,2.9101,6.0
2016-01-31,616.63,35224240.0,765962.2112,23.2163,2.8207,6.0
2016-02-29,614.05,37400854.0,762763.5853,23.1194,2.8089,6.0
2016-03-31,605.35,45361444.0,751956.5386,20.7684,2.4714,6.0
2016-04-30,665.47,45752110.0,826642.9006,22.8312,2.7169,6.0
2016-05-31,661.15,42319934.0,821270.5289,22.6828,2.6992,6.0
2016-06-30,714.97,53158076.0,888131.0489,24.5295,2.919,6.0
2016-07-31,733.38,40101834.0,910987.2883,25.1607,2.9941,6.0
