JBCP IN Equity,price,volume,mc,pe,bm,div
2018-04-30,160.03,3193298.0,26746.5705,19.4205,1.8554,0.5
2018-05-31,139.93,2049808.0,23387.0575,16.9812,1.6223,0.5
2018-06-30,128.93,2298306.0,21548.5181,15.6462,1.4948,0.5
2018-07-31,136.65,2474084.0,22839.6742,16.5837,1.5844,0.5
2018-08-31,170.43,11068824.0,28484.826,20.6826,1.976,1.0
2018-09-30,146.4,5031558.0,24469.2887,17.767,1.6974,1.0
2018-10-31,154.25,2426092.0,25781.3373,18.7197,1.7884,1.0
2018-11-30,149.28,1349566.0,24949.816,18.1159,1.7308,1.0
2018-12-31,152.95,4472270.0,25564.0554,18.5619,1.7734,1.0
2019-01-31,158.6,1702596.0,26508.3961,19.2476,1.8389,1.0
2019-02-28,163.1,2797578.0,26173.1926,19.7937,1.891,1.0
2019-03-31,181.2,2493706.0,29077.7591,15.3951,1.9646,1.0
2019-04-30,172.2,1550582.0,27633.4995,14.6304,1.867,1.0
2019-05-31,187.5,4625630.0,30088.7408,15.9303,2.0329,1.0
2019-06-30,183.4,1897646.0,29430.8003,15.582,1.9884,1.0
2019-07-31,185.38,2143534.0,29747.735,15.7498,2.0098,1.0
2019-08-31,191.38,2371574.0,30710.5747,16.2596,2.0749,2.5
2019-09-30,185.3,5539396.0,29735.6995,15.7434,2.009,2.5
2019-10-31,170.58,3709882.0,27372.7304,14.4924,1.8494,2.5
2019-11-30,197.85,4510574.0,31749.6392,16.8097,2.1451,2.5
2019-12-31,212.83,6175592.0,34152.7267,18.082,2.3074,2.5
2020-01-31,247.65,4497864.0,39741.2088,21.0408,2.685,2.5
2020-02-29,269.35,5941276.0,41631.8657,22.8845,2.9203,2.5
2020-03-31,254.5,6081636.0,39336.5874,14.883,2.7403,10.0
2020-04-30,278.95,11753790.0,43115.6819,16.3129,3.0036,10.0
2020-05-31,341.08,14425964.0,52717.9825,19.9459,3.6725,10.0
2020-06-30,353.73,11093256.0,54673.2195,20.6857,3.8087,10.0
2020-07-31,367.1,13059290.0,56740.5156,21.4678,3.9527,10.0
2020-08-31,385.13,18602096.0,59526.5352,22.5219,4.1468,10.0
2020-09-30,494.15,43569120.0,76377.8965,28.8977,5.3207,5.5
2020-10-31,504.35,7841960.0,77954.4512,29.4942,5.4305,5.5
2020-11-30,497.35,5502882.0,76872.5019,29.0848,5.3551,5.5
2020-12-31,508.55,5558658.0,78603.6209,29.7398,5.4757,5.5
2021-01-31,500.58,5753766.0,77370.9724,29.2734,5.3899,5.5
2021-02-28,559.3,18548942.0,86447.7548,32.7076,6.0222,4.75
2021-03-31,627.73,8738824.0,97023.8099,21.6606,5.3612,4.75
2021-04-30,697.68,6606366.0,107835.5754,24.0744,5.9587,4.75
2021-05-31,725.4,5891688.0,112120.8678,25.0311,6.1955,4.75
2021-06-30,832.6,7657092.0,128690.1496,28.7302,7.111,4.75
2021-07-31,906.63,9729054.0,140131.7624,31.2845,7.7433,4.75
2021-08-31,851.33,4714176.0,131584.3625,29.3763,7.271,4.75
2021-09-30,933.48,8696466.0,144281.811,32.211,7.9726,8.25
2021-10-31,839.08,5471552.0,129690.9511,28.9536,7.1663,8.25
2021-11-30,819.35,3990148.0,126642.1724,28.2729,6.9979,8.25
2021-12-31,889.85,4881082.0,137538.948,30.7057,7.6,8.25
2022-01-31,870.35,3658128.0,134524.9462,30.0328,7.4334,8.25
2022-02-28,807.3,4605556.0,124779.6738,27.8571,6.895,8.25
2022-03-31,787.45,4384838.0,121711.5746,31.5864,5.7031,8.25
2022-04-30,859.45,4546132.0,132840.1965,34.4745,6.2246,8.25
2022-05-31,812.83,2123682.0,125633.641,32.6043,5.8869,8.25
2022-06-30,786.33,2791592.0,121537.6898,31.5413,5.695,8.25
2022-07-31,885.05,1953578.0,136797.0399,35.5014,6.41,8.25
2022-08-31,891.3,2832842.0,137848.8627,35.7521,6.4553,8.25
2022-09-30,959.9,4129930.0,148468.6103,38.5038,6.9521,8.25
2022-10-31,986.75,3174056.0,152621.5244,39.5808,7.1466,8.25
