BPCL IN Equity,price,volume,mc,pe,bm,div
2007-11-30,32.2,299022048.0,139675.9596,6.5113,1.2284,1.3333
2007-12-31,43.64,291326436.0,189313.6178,8.8253,1.665,1.3333
2008-01-31,30.13,263846028.0,130710.0898,6.0934,1.1496,1.3333
2008-02-29,38.73,172375836.0,168037.7533,7.8335,1.4778,1.3333
2008-03-31,34.05,145201884.0,147701.8591,8.348,1.1444,0.8333
2008-04-30,34.12,101887344.0,148012.4305,8.3653,1.1468,0.8333
2008-05-31,29.74,151644876.0,129031.8428,7.2926,0.9997,0.8333
2008-06-30,18.65,289481064.0,80911.5338,4.5729,0.6269,0.8333
2008-07-31,27.33,145744200.0,118547.3277,6.7,0.9185,0.8333
2008-08-31,25.23,169243776.0,109454.7224,6.1861,0.848,0.8333
2008-09-30,30.02,336461232.0,130242.9851,7.3611,1.0091,0.3333
2008-10-31,23.93,258667044.0,103796.6996,5.8664,0.8042,0.3333
2008-11-30,29.6,154157508.0,128417.3417,7.2579,0.995,0.3333
2008-12-31,31.34,241803336.0,135973.4297,7.6849,1.0535,0.3333
2009-01-31,32.66,217006236.0,141703.6447,8.0088,1.0979,0.3333
2009-02-28,31.91,126887640.0,138431.7529,7.8239,1.0726,0.3333
2009-03-31,31.34,185659788.0,135955.2381,21.4518,1.0214,0.3333
2009-04-30,32.3,148406616.0,140149.198,22.1135,1.0529,0.3333
2009-05-31,38.73,350516364.0,168005.5006,26.5088,1.2622,0.3333
2009-06-30,35.84,335049432.0,155496.4151,24.5351,1.1682,0.3333
2009-07-31,39.5,233047944.0,171367.8232,27.0394,1.2874,0.3333
2009-08-31,42.31,224069268.0,183551.5693,28.9618,1.3789,0.5833
2009-09-30,47.84,248403420.0,207539.4492,32.7467,1.5592,0.5833
2009-10-31,42.62,155577288.0,184907.3274,29.1757,1.3891,0.5833
2009-11-30,49.18,163530084.0,213342.0938,33.6623,1.6028,0.5833
2009-12-31,52.96,165760224.0,229773.8819,36.255,1.7262,0.5833
2010-01-31,45.07,169282284.0,195536.5368,30.8528,1.469,0.5833
2010-02-28,47.0,220856868.0,203888.0095,32.1706,1.5317,0.5833
2010-03-31,43.17,199859316.0,187293.5248,11.474,1.3243,0.5833
2010-04-30,43.13,146779836.0,187094.6803,11.4618,1.3229,0.5833
2010-05-31,48.43,218868744.0,210106.4221,12.8715,1.4856,0.5833
2010-06-30,55.23,713643780.0,239607.7282,14.6788,1.6942,0.5833
2010-07-31,53.46,662324748.0,231943.1732,14.2093,1.64,0.5833
2010-08-31,63.44,584403564.0,275218.9862,16.8605,1.946,0.5833
2010-09-30,62.46,353680512.0,270989.0195,16.6013,1.9161,1.1667
2010-10-31,60.84,323471436.0,263939.075,16.1694,1.8663,1.1667
2010-11-30,56.25,197084016.0,244054.6162,14.9513,1.7257,1.1667
2010-12-31,54.87,214355688.0,238035.0483,14.5825,1.6831,1.1667
2011-01-31,51.08,192283524.0,221621.3314,13.577,1.567,1.1667
2011-02-28,46.12,179570316.0,200091.8856,12.258,1.4148,1.1667
2011-03-31,50.99,174636816.0,221205.5654,13.5305,1.441,1.1667
2011-04-30,52.46,105241632.0,227604.7458,13.9219,1.4827,1.1667
2011-05-31,52.75,225636816.0,228852.0437,13.9982,1.4908,1.1667
2011-06-30,54.19,192047052.0,235088.533,14.3797,1.5315,1.1667
2011-07-31,54.82,104986476.0,237836.2037,14.5478,1.5494,1.1667
2011-08-31,56.22,144133284.0,243891.9252,14.9182,1.5888,1.1667
2011-09-30,53.98,94542300.0,234202.7708,14.3255,1.5257,1.1667
2011-10-31,51.88,81797748.0,225092.0733,13.7682,1.4663,1.1667
2011-11-30,44.83,154524132.0,194488.0836,11.8963,1.267,1.1667
2011-12-31,39.82,161783928.0,172741.7164,10.5661,1.1253,1.1667
2012-01-31,47.68,163904772.0,206852.6016,12.6526,1.3475,1.1667
2012-02-29,55.19,207917592.0,239426.9604,14.6451,1.5597,1.1667
2012-03-31,58.35,127558140.0,253169.9296,32.419,1.5943,1.1667
2012-04-30,55.89,79771860.0,242468.2803,31.0486,1.5269,1.1667
2012-05-31,58.14,244204932.0,252229.9199,32.2986,1.5884,1.1667
2012-06-30,62.0,134812080.0,268969.324,34.4421,1.6938,1.1667
