ECLX IN Equity,price,volume,mc,pe,bm,div
2021-04-30,830.57,2099084.0,43467.192,15.2659,2.8229,0.6667
2021-05-31,840.1,1282661.0,43966.1131,15.4411,2.8553,0.6667
2021-06-30,1292.3,4682945.0,67631.7199,23.7526,4.3922,0.6667
2021-07-31,1496.83,2163042.0,78335.843,27.5119,5.0874,0.6667
2021-08-31,1509.3,1317911.0,78988.2782,27.7411,5.1297,0.6667
2021-09-30,1442.7,2085185.0,75502.8086,26.517,4.9034,0.6667
2021-10-31,1453.67,1885227.0,76076.7423,26.7185,4.9406,0.6667
2021-11-30,1458.87,2793219.0,74022.3746,26.8141,4.9583,0.6667
2021-12-31,1741.37,2851146.0,88356.3239,32.0065,5.9185,0.6667
2022-01-31,1567.9,5384657.0,79554.687,28.8182,5.3289,0.6667
2022-02-28,1433.87,1763600.0,72753.8835,26.3546,4.8733,0.6667
2022-03-31,1580.8,2065001.0,80209.2284,28.7279,5.0065,0.6667
2022-04-30,1605.27,1217403.0,81450.6584,29.1725,5.084,0.6667
2022-05-31,1355.13,1293710.0,68758.9822,24.6268,4.2918,0.6667
2022-06-30,1280.17,1235412.0,64955.2003,23.2645,4.0544,0.6667
2022-07-31,1449.4,741420.0,73542.0393,26.34,4.5904,0.6667
2022-08-31,1404.07,2381018.0,71241.8421,25.5161,4.4468,0.6667
2022-09-30,1424.75,1283901.0,72291.3078,25.892,4.5123,0.6667
2022-10-31,1319.7,692623.0,66961.1082,23.9829,4.1796,0.6667
2022-11-30,1448.35,1559289.0,73488.7634,26.3209,4.5871,0.6667
2022-12-31,1279.35,1081711.0,64913.7636,23.2496,4.0518,0.6667
2023-01-31,1452.6,900544.0,73704.4069,26.3981,4.6005,0.6667
2023-02-28,1394.8,1443292.0,70771.6555,25.3477,4.4175,0.6667
2023-03-31,1290.4,1350317.0,63262.3233,13.066,3.6144,0.6667
2023-04-30,1355.5,963807.0,66453.8741,13.7252,3.7968,0.6667
2023-05-31,1629.7,3003990.0,79896.6276,16.5016,4.5648,0.6667
