BHARTI IN Equity,price,volume,mc,pe,bm,div
2013-08-31,269.57,133320598.0,1195622.311,51.658,2.0782,0.9013
2013-09-30,287.19,131576695.0,1273771.479,61.6106,2.1672,0.9013
2013-10-31,330.85,115100791.0,1467445.504,70.9783,2.4967,0.9013
2013-11-30,294.71,96514363.0,1307149.768,63.2251,2.224,0.9013
2013-12-31,297.64,95029519.0,1320141.318,55.4856,2.2277,0.9013
2014-01-31,283.9,127156354.0,1259180.969,52.9234,2.1249,0.9013
2014-02-28,259.2,140653179.0,1149652.212,48.3199,1.94,0.9013
2014-03-31,286.37,135255481.0,1270173.819,45.2764,2.1243,0.9013
2014-04-30,295.66,89063113.0,1311347.038,46.7441,2.1932,0.9013
2014-05-31,310.12,123769818.0,1375505.306,49.0311,2.3005,0.9013
2014-06-30,303.63,137637975.0,1346724.027,42.1547,2.2187,0.9013
2014-07-31,336.08,111890211.0,1490630.424,46.6592,2.4558,0.0
2014-08-31,333.29,95453593.0,1478238.484,46.2713,2.4354,3.0913
2014-09-30,365.19,112436293.0,1619746.44,39.8348,2.6331,3.0913
2014-10-31,359.51,87102275.0,1594562.821,39.2155,2.5922,3.0913
2014-11-30,344.55,98866944.0,1528205.983,37.5836,2.4843,3.0913
2014-12-31,317.87,105330530.0,1409882.946,28.8177,2.314,3.0913
2015-01-31,336.8,97629082.0,1493828.344,30.5335,2.4518,3.0913
2015-02-28,321.07,87027537.0,1424073.715,29.1078,2.3373,3.0913
2015-03-31,354.46,190636831.0,1572177.382,30.3168,2.5367,3.0913
2015-04-30,343.47,128506991.0,1523409.103,29.3764,2.458,3.0913
2015-05-31,383.58,198558485.0,1701293.398,32.8066,2.745,3.0913
2015-06-30,378.57,95931009.0,1679107.829,27.121,2.5829,3.0913
2015-07-31,377.45,82139118.0,1674111.079,27.0403,2.5752,3.0913
2015-08-31,319.32,114879722.0,1416278.785,22.8758,2.1786,2.0008
2015-09-30,304.49,101983888.0,1350521.557,21.294,2.1071,2.0008
2015-10-31,314.58,91169787.0,1395292.436,21.9999,2.177,2.0008
2015-11-30,301.34,60155325.0,1336530.657,21.0734,2.0853,2.0008
2015-12-31,306.79,90303438.0,1360714.927,22.6315,2.0845,2.0008
2016-01-31,261.27,85810598.0,1158846.232,19.274,1.7752,2.0008
2016-02-29,284.35,110583100.0,1261179.669,20.976,1.932,2.0008
2016-03-31,316.16,85539789.0,1402287.886,23.0789,2.1002,2.0008
2016-04-30,327.7,78961737.0,1453454.605,23.9211,2.1768,2.0008
2016-05-31,316.7,94146523.0,1404686.326,23.1184,2.1038,2.0008
2016-06-30,330.58,69925616.0,1466246.284,27.0302,2.2807,2.0008
2016-07-31,326.3,68182896.0,1447258.635,26.6802,2.2512,2.0008
2016-08-31,298.9,74639918.0,1325737.678,24.4399,2.0622,1.2257
2016-09-30,282.99,132781267.0,1255183.569,23.4503,1.957,1.2257
2016-10-31,287.23,65778834.0,1273971.349,23.8013,1.9863,1.2257
2016-11-30,292.55,69923023.0,1297556.008,24.242,2.023,1.2257
2016-12-31,275.47,65264774.0,1221805.28,25.7281,1.935,1.2257
2017-01-31,313.82,105003521.0,1391894.646,29.3098,2.2043,1.2257
2017-02-28,329.09,136500306.0,1459650.574,30.7365,2.3117,1.2257
2017-03-31,315.49,126830382.0,1399289.836,36.8086,2.0744,1.2257
2017-04-30,320.4,71084234.0,1421075.665,37.3817,2.1067,1.2257
2017-05-31,334.86,145490153.0,1485233.934,39.0694,2.2018,1.2257
2017-06-30,342.21,83897938.0,1517812.743,56.0857,2.2345,1.2257
2017-07-31,377.58,106237422.0,1674710.689,61.8833,2.4655,0.9013
2017-08-31,385.47,63119615.0,1709687.938,63.1758,2.517,0.9013
2017-09-30,350.99,90609628.0,1556787.392,98.0982,2.2378,0.9013
2017-10-31,448.11,229231303.0,1987507.231,125.2393,2.8569,0.9013
2017-11-30,447.43,781650181.0,1984509.23,125.0504,2.8526,0.9013
2017-12-31,477.35,168433429.0,2117222.91,152.1983,2.9646,0.9013
2018-01-31,396.42,266950569.0,1758256.39,126.3937,2.4619,3.4608
2018-02-28,386.23,164881241.0,1713085.814,123.1466,2.3987,3.4608
2018-03-31,359.33,137588628.0,1593763.421,144.4565,2.2921,3.4608
2018-04-30,369.11,173529076.0,1637135.212,148.3877,2.3544,3.4608
2018-05-31,336.71,187918348.0,1493428.68,135.3623,2.1478,3.4608
2018-06-30,344.24,105683774.0,1526806.971,183.6298,2.2004,3.4608
2018-07-31,352.03,124816813.0,1561384.482,187.7885,2.2502,2.5596
2018-08-31,345.95,111721778.0,1534402.031,184.5433,2.2113,2.2531
2018-09-30,305.12,98301944.0,1353319.806,222.7303,1.9647,2.2531
2018-10-31,263.48,207583048.0,1168639.921,192.3355,1.6966,2.2531
2018-11-30,282.54,167018490.0,1253184.934,206.25,1.8194,7.0659
2018-12-31,281.64,162050261.0,1249187.533,328.9474,1.7567,7.0659
2019-01-31,276.15,185684023.0,1224803.393,322.5263,1.7224,4.5063
2019-02-28,286.65,120623494.0,1271373.104,334.7895,1.7879,4.5063
2019-03-31,300.21,209019377.0,1331533.976,329.802,1.8643,4.5063
2019-04-30,314.4,208854075.0,1280367.254,345.3888,1.9524,4.5063
2019-05-31,342.37,187776585.0,1789689.634,376.1211,2.1261,4.5063
2019-06-30,340.26,118849361.0,1778658.004,375.9594,1.9466,4.5063
2019-07-31,331.38,130170212.0,1732222.623,,1.8957,4.5063
2019-08-31,340.41,231903535.0,1779764.37,,1.9474,2.2531
2019-09-30,360.29,135551753.0,1883686.597,,2.6916,2.2531
2019-10-31,367.35,334959115.0,1920636.722,,2.7444,2.2531
2019-11-30,434.3,474107526.0,2270636.521,,3.2446,2.2531
2019-12-31,447.4,313264903.0,2339148.211,,3.3985,2.2531
2020-01-31,487.3,492001177.0,2708411.482,,3.7016,0.0
