CUBK IN Equity,price,volume,mc,pe,bm,div
2012-12-31,46.16,25568442.0,28619.7673,9.3666,2.1192,0.7152
2013-01-31,51.12,22553908.0,31694.4066,10.3728,2.3469,0.7152
2013-02-28,45.54,14514083.0,28235.4374,9.2408,2.0908,0.7152
2013-03-31,43.43,5460430.0,26928.7157,7.9023,1.7262,0.7152
2013-04-30,45.21,6536618.0,28030.4615,8.2256,1.7968,0.7152
2013-05-31,45.79,8631533.0,28389.1694,8.3308,1.8198,0.8264
2013-06-30,45.62,6316334.0,28286.6814,8.3008,1.8133,0.8264
2013-07-31,39.01,8828703.0,25276.9079,7.0977,1.5505,0.8264
2013-08-31,32.93,7201252.0,21393.5567,5.9925,1.309,0.8264
2013-09-30,35.04,8837517.0,22762.5295,6.3759,1.3928,0.8264
2013-10-31,39.67,13506753.0,25787.874,7.218,1.5767,0.8264
2013-11-30,40.66,14681807.0,26432.5709,7.3985,1.6162,0.8264
2013-12-31,42.73,14415576.0,27830.3429,7.7744,1.6983,0.8264
2014-01-31,40.41,9293065.0,26333.999,7.3534,1.6063,0.8264
2014-02-28,38.31,5228875.0,25136.9029,6.9699,1.5225,0.8264
2014-03-31,44.5,15257886.0,29204.363,8.0493,1.4433,0.8264
2014-04-30,48.39,17105045.0,31753.3046,8.7519,1.5693,0.8264
2014-05-31,56.32,63186095.0,36959.6534,10.1868,1.8266,0.8264
2014-06-30,62.02,56163735.0,40702.9122,11.2182,2.0116,0.8264
2014-07-31,60.87,22609687.0,43378.407,11.009,1.974,0.0
2014-08-31,63.68,15449578.0,45803.8313,11.5172,2.0652,0.8264
2014-09-30,70.99,20434470.0,51064.8971,12.8401,2.3024,0.8264
2014-10-31,70.08,17169787.0,50410.9811,12.6756,2.2729,0.8264
2014-11-30,76.78,19874578.0,55226.1809,13.8864,2.49,0.8264
2014-12-31,77.81,17745950.0,55969.2673,14.0732,2.5235,0.8264
2015-01-31,77.15,22235063.0,55652.7072,13.9537,2.502,0.8264
2015-02-28,82.23,19802186.0,59319.2109,14.8729,2.6669,0.8264
2015-03-31,80.08,40633429.0,57769.1197,14.2082,2.1446,0.8264
2015-04-30,78.02,15270578.0,56278.6884,13.8416,2.0892,0.8264
2015-05-31,84.92,12032270.0,61256.7291,15.066,2.274,0.8264
2015-06-30,83.43,23040090.0,60183.6186,14.8021,2.2342,0.8264
2015-07-31,83.55,14275711.0,60313.0056,14.824,2.2375,0.8264
2015-08-31,79.21,11407242.0,57336.6346,14.0543,2.1213,0.9091
2015-09-30,75.99,23687446.0,55003.6886,13.4824,2.035,0.9091
2015-10-31,74.3,13902179.0,53777.3964,13.1818,1.9896,0.9091
2015-11-30,70.87,13872842.0,51294.9026,12.5733,1.8978,0.9091
2015-12-31,76.16,11761084.0,55123.3268,13.5117,2.0394,0.9091
2016-01-31,66.12,10835024.0,47855.3027,11.7302,1.7705,0.9091
2016-02-29,69.75,17616988.0,50487.3444,12.3754,1.8679,0.9091
2016-03-31,78.35,21681272.0,56708.5337,12.7419,1.8581,1.7355
2016-04-30,77.6,10107829.0,56170.1616,12.621,1.8404,1.7355
2016-05-31,88.06,12859725.0,63737.2813,14.3212,2.0884,1.7355
2016-06-30,96.2,11997903.0,69629.4655,15.6452,2.2814,1.7355
2016-07-31,107.31,11162784.0,77675.1383,17.453,2.5451,1.7355
2016-08-31,108.84,9731729.0,78781.7921,17.7016,2.5813,0.9917
2016-09-30,109.17,12942064.0,79021.0686,17.7554,2.5892,0.9917
2016-10-31,123.64,31579129.0,89489.4161,20.1075,2.9322,0.9917
2016-11-30,111.32,34839116.0,80576.366,18.1048,2.6401,0.9917
2016-12-31,106.74,12587586.0,77256.4044,17.3589,2.5313,0.9917
2017-01-31,124.01,10909819.0,89758.6022,20.168,2.941,0.9917
2017-02-28,119.26,19116975.0,86733.6622,19.3952,2.8283,0.9917
2017-03-31,125.29,21141236.0,91121.4359,18.0691,2.5523,0.1653
2017-04-30,136.2,37201836.0,99055.4923,19.6424,2.7745,0.1653
2017-05-31,141.45,18458462.0,102872.2543,20.3993,2.8814,0.1653
2017-06-30,146.16,18610815.0,106298.3241,21.0787,2.9774,0.1653
2017-07-31,160.32,12245248.0,116597.574,23.121,3.2659,0.1653
2017-08-31,144.45,10993094.0,105060.1333,20.8331,2.9427,0.2727
2017-09-30,147.55,14476894.0,107308.1161,21.2789,3.0057,0.2727
2017-10-31,146.86,15922748.0,106812.2375,21.1806,2.9918,0.2727
2017-11-30,152.23,18481783.0,111098.7416,21.9541,3.101,0.2727
2017-12-31,163.45,14982882.0,119292.647,23.5733,3.3297,0.2727
2018-01-31,144.27,14225575.0,105293.343,20.8069,2.939,0.2727
2018-02-28,158.91,27354653.0,115975.2765,22.9178,3.2372,0.2727
2018-03-31,156.77,27367556.0,114632.5521,18.7854,2.7534,0.2727
2018-04-30,167.14,18835018.0,122210.4651,20.0272,2.9355,0.2727
2018-05-31,178.5,25339819.0,130519.5802,21.3889,3.1351,0.2727
2018-06-30,167.91,6931674.0,122890.6404,20.1198,2.949,0.2727
2018-07-31,171.9,17741146.0,125811.5386,20.598,3.0191,0.2727
