CYL IN Equity,price,volume,mc,pe,bm,div
2010-08-31,157.0,1273890.0,17443.4376,10.1684,1.9228,1.0
2010-09-30,157.0,2151843.0,17443.4376,10.1684,1.9228,1.0
2010-10-31,163.6,2696314.0,18176.7286,10.5959,2.0036,1.0
2010-11-30,152.45,265532.0,16960.6266,9.8737,1.867,1.0
2010-12-31,172.55,1177783.0,19196.826,11.1755,2.1132,1.0
2011-01-31,166.4,505384.0,18512.6157,10.7772,2.0379,1.0
2011-02-28,159.4,166197.0,17736.868,10.3238,1.9522,1.0
2011-03-31,161.75,999137.0,17998.9413,12.8782,1.7486,1.0
2011-04-30,159.95,867323.0,17798.6439,12.7349,1.7292,1.0
2011-05-31,141.05,561656.0,15695.5219,11.2301,1.5249,1.0
2011-06-30,144.55,1777217.0,16084.989,11.5088,1.5627,1.0
2011-07-31,136.25,289751.0,15178.1275,10.8479,1.473,1.25
2011-08-31,121.1,720823.0,13490.4312,9.6417,1.3092,1.25
2011-09-30,115.0,826159.0,12810.8966,9.1561,1.2432,1.25
2011-10-31,117.7,306912.0,13111.6742,9.371,1.2724,1.25
2011-11-30,128.9,3032525.0,14359.3442,10.2627,1.3935,2.5
2011-12-31,110.05,1507086.0,12259.4711,8.7619,1.1897,2.5
2012-01-31,135.0,3738811.0,15038.8787,10.7484,1.4595,2.5
2012-02-29,149.65,311429.0,16670.8755,11.9148,1.6178,2.5
2012-03-31,149.3,2099417.0,16634.3041,10.3037,1.4371,2.5
2012-04-30,162.1,784104.0,18060.4199,11.187,1.5603,2.5
2012-05-31,171.95,199646.0,19157.8606,11.8668,1.6551,2.5
2012-06-30,160.6,1028227.0,17893.2969,11.0835,1.5459,2.5
2012-07-31,176.4,17883801.0,19653.6586,12.1739,1.698,2.5
2012-08-31,182.25,2124166.0,20314.3691,12.5776,1.7543,2.5
2012-09-30,191.3,812884.0,21323.121,13.2022,1.8414,2.5
2012-10-31,187.95,3045807.0,20949.7156,12.971,1.8091,2.5
2012-11-30,190.4,8264535.0,21222.8031,13.1401,1.8327,3.25
2012-12-31,179.45,2096036.0,20027.1578,12.3844,1.7273,3.25
2013-01-31,172.55,404746.0,19257.0971,11.9082,1.6609,3.25
2013-02-28,169.7,785605.0,18939.0286,11.7115,1.6335,3.25
2013-03-31,170.15,756931.0,18989.2499,8.2119,1.4358,3.25
2013-04-30,175.0,888202.0,19536.0025,8.4459,1.4767,3.25
2013-05-31,168.0,5467453.0,18754.5624,8.1081,1.4177,3.25
2013-06-30,178.15,429810.0,19887.6574,8.598,1.5033,3.25
2013-07-31,180.3,4794375.0,20127.6712,8.7017,1.5215,4.5
2013-08-31,185.15,897209.0,20677.0195,8.9358,1.5624,4.5
2013-09-30,212.8,757774.0,23764.892,10.2703,1.7957,4.5
2013-10-31,252.3,6384885.0,28177.7149,12.1766,2.129,4.5
2013-11-30,272.1,812022.0,30389.0457,13.1322,2.2961,4.5
2013-12-31,341.35,5085531.0,38200.2141,16.4744,2.8805,4.5
2014-01-31,356.45,3428002.0,39890.0434,17.2032,3.0079,4.5
2014-02-28,367.15,955121.0,41107.8083,17.7196,3.0982,4.5
2014-03-31,325.8,2000487.0,36478.0715,13.6891,2.2964,4.5
2014-04-30,313.9,606880.0,35145.6926,13.1891,2.2126,4.5
2014-05-31,307.3,2516640.0,34458.2937,12.9118,2.166,4.5
2014-06-30,353.15,5927754.0,39599.5653,14.8382,2.4892,4.5
2014-07-31,382.65,1410815.0,42907.4718,16.0777,2.6971,5.0
2014-08-31,422.6,1806745.0,47387.1621,17.7563,2.9787,5.0
2014-09-30,449.1,2579937.0,50358.6713,18.8697,3.1655,6.0
2014-10-31,480.15,2319974.0,53840.3831,20.1744,3.3844,6.0
2014-11-30,515.5,3480616.0,57875.8755,21.6597,3.6335,6.0
2014-12-31,516.9,1066072.0,58033.0553,21.7185,3.6434,6.0
2015-01-31,532.5,2922703.0,59784.4882,22.3739,3.7534,6.0
2015-02-28,550.55,1089412.0,61819.6093,23.1324,3.8806,6.0
2015-03-31,501.9,2024137.0,56394.0166,15.9435,3.0581,6.0
2015-04-30,481.2,2138258.0,54068.1426,15.2859,2.932,6.0
2015-05-31,558.45,2945633.0,62748.0346,17.7398,3.4027,6.0
2015-06-30,578.1,1764102.0,64955.9294,18.364,3.5224,6.0
2015-07-31,545.1,2215311.0,61286.8075,17.3158,3.3214,8.0
2015-08-31,581.95,1006120.0,65429.9351,18.4863,3.5459,8.0
2015-09-30,558.65,2463293.0,62834.9293,17.7462,3.4039,8.0
2015-10-31,536.95,3438675.0,60394.1919,17.0569,3.2717,8.0
2015-11-30,484.0,960472.0,54438.5676,15.3748,2.9491,8.0
2015-12-31,479.75,909859.0,53960.543,15.2398,2.9232,8.0
2016-01-31,438.2,1609805.0,49290.2152,13.9199,2.67,8.0
2016-02-29,422.15,910513.0,47484.857,13.4101,2.5722,8.0
2016-03-31,426.7,1365368.0,47996.6563,14.7087,2.513,12.0
2016-04-30,459.5,2010007.0,51686.1111,15.8394,2.7062,12.0
2016-05-31,482.95,721948.0,54323.8462,16.6477,2.8443,12.0
2016-06-30,490.1,2671344.0,55136.7286,16.8942,2.8864,12.0
2016-07-31,493.7,1158662.0,55541.7321,17.0183,2.9076,7.0
2016-08-31,498.4,877295.0,56070.4867,17.1803,2.9353,7.0
2016-09-30,470.6,3020117.0,52942.9596,16.222,2.7715,9.5
2016-10-31,496.5,2599665.0,55856.7349,17.1148,2.9241,8.5
2016-11-30,496.55,1937431.0,55862.3599,17.1165,2.9244,8.5
2016-12-31,504.9,1580520.0,56823.8309,17.4043,2.9735,8.5
2017-01-31,460.95,2870228.0,51887.4568,15.8893,2.7147,8.5
2017-02-28,482.75,3678459.0,54341.4032,16.6408,2.8431,8.5
2017-03-31,467.5,1115223.0,52624.7664,15.3028,2.4862,8.5
2017-04-30,547.65,5251302.0,61646.959,17.9264,2.9125,8.5
2017-05-31,478.0,2874187.0,53806.713,15.6465,2.542,5.5
2017-06-30,507.7,4018893.0,57149.9335,16.6187,2.7,5.5
2017-07-31,524.85,2661522.0,59083.8539,17.18,2.7912,10.5
2017-08-31,531.0,467710.0,59776.1769,17.3813,2.8239,10.5
2017-09-30,510.85,19249035.0,57507.8342,16.7218,2.7167,8.0
2017-10-31,540.55,21233712.0,60851.2475,17.6939,2.8747,10.0
2017-11-30,575.75,5805871.0,64823.1035,18.8462,3.0619,10.0
2017-12-31,583.25,3411397.0,65667.5208,19.0917,3.1018,10.0
2018-01-31,641.85,18339062.0,72265.2349,21.0098,3.4134,14.0
2018-02-28,636.55,5011820.0,71668.5133,20.8363,3.3852,14.0
2018-03-31,694.85,4364664.0,78237.332,19.3014,3.3379,14.0
2018-04-30,760.9,13496247.0,85674.2979,21.1361,3.6552,14.0
2018-05-31,736.8,10630956.0,83171.4473,20.4667,3.5394,14.0
2018-06-30,766.5,6187753.0,86543.5083,21.2917,3.6821,14.0
2018-07-31,704.35,8301222.0,79545.177,19.5653,3.3835,4.0
2018-08-31,728.9,5089102.0,82356.6296,20.2472,3.5015,4.0
2018-09-30,745.2,9880753.0,84198.3267,20.7,3.5798,4.0
2018-10-31,621.25,4667204.0,70223.6535,17.2569,2.9844,12.0
2018-11-30,598.6,5796155.0,67665.1825,16.6278,2.8755,12.0
2018-12-31,620.0,3618906.0,70084.2184,17.2222,2.9783,12.0
2019-01-31,609.5,4881068.0,68900.7392,16.9306,2.9279,12.0
