WLCO IN Equity,price,volume,mc,pe,bm,div
2015-01-31,67.75,3985216.0,17814.7475,24.2832,0.6276,0.5
2015-02-28,68.25,4322973.0,17946.2009,24.4624,0.6322,0.5
2015-03-31,53.85,4368463.0,14159.7661,20.4753,0.5064,0.5
2015-04-30,83.9,10005886.0,22061.3626,31.9011,0.7889,0.5
2015-05-31,83.2,13098479.0,21896.2504,31.635,0.7823,0.5
2015-06-30,114.75,59685604.0,30199.4559,43.6312,1.079,0.5
2015-07-31,145.8,73902535.0,38371.0734,55.4373,1.371,0.5
2015-08-31,111.45,22476560.0,29330.9748,42.3764,1.048,0.5
2015-09-30,114.8,16292540.0,30212.6147,43.6502,1.0795,0.5
2015-10-31,101.5,15438378.0,26712.3728,38.5932,0.9544,0.5
2015-11-30,117.45,27579555.0,30910.0314,44.6578,1.1044,0.5
2015-12-31,115.35,26849792.0,30357.3616,43.8593,1.0846,0.5
2016-01-31,99.8,11623025.0,26264.9734,37.9468,0.9384,0.5
2016-02-29,79.6,14790382.0,21111.9979,30.2662,0.7485,0.5
2016-03-31,98.7,14204116.0,26177.8165,17.1354,0.9353,0.5
2016-04-30,110.65,7746550.0,29347.2584,19.2101,1.0485,0.5
2016-05-31,78.2,11937656.0,20740.6742,13.5764,0.741,0.5
2016-06-30,79.5,28097789.0,21085.468,13.8021,0.7534,0.5
2016-07-31,87.05,19897480.0,23087.9244,15.1128,0.8249,0.5
2016-08-31,81.4,21394446.0,21589.3975,14.1319,0.7714,0.5
2016-09-30,69.9,7170466.0,18539.2983,12.1354,0.6624,0.5
2016-10-31,71.35,5798819.0,18923.876,12.3872,0.6761,0.5
2016-11-30,80.9,17668194.0,21456.7845,14.0451,0.7666,0.5
2016-12-31,75.25,27432499.0,19958.2644,13.0642,0.7131,0.5
2017-01-31,83.4,9288968.0,22119.8571,14.4792,0.7903,0.5
2017-02-28,83.15,8293078.0,22053.5506,14.4358,0.7879,0.5
