JPVL IN Equity,price,volume,mc,pe,bm,div
2016-09-30,4.15,56563817.0,12192.7132,,0.1515,0.0
2016-10-31,4.6,55335421.0,13514.8146,,0.1679,0.0
2016-11-30,4.1,33694477.0,12045.813,,0.1496,0.0
2016-12-31,3.95,52840658.0,11605.1125,,0.1442,0.0
2017-01-31,4.95,157107093.0,14543.1157,,0.1807,0.0
2017-02-28,6.15,363298594.0,36875.418,,0.2245,0.0
2017-03-31,5.0,149097435.0,29980.0146,,0.3194,0.0
2017-04-30,4.85,84490655.0,29080.6142,,0.3098,0.0
2017-05-31,4.15,64001747.0,24883.4122,,0.2651,0.0
2017-06-30,5.6,165188291.0,33577.6164,,0.3577,0.0
2017-07-31,7.4,496690660.0,44370.4217,,0.4727,0.0
2017-08-31,5.9,276344270.0,35376.4173,,0.3769,0.0
2017-09-30,7.15,311589937.0,42871.4209,,0.4567,0.0
2017-10-31,7.95,206623204.0,47668.2233,,0.5078,0.0
2017-11-30,7.0,112684305.0,41972.0219,,0.4471,0.0
2017-12-31,9.45,209081634.0,56662.2295,,0.6036,0.0
2018-01-31,7.0,254109520.0,41972.0219,,0.4471,0.0
2018-02-28,6.05,59755604.0,36275.8187,,0.3864,0.0
2018-03-31,4.75,192656761.0,28481.0146,,0.3661,0.0
2018-04-30,3.75,172043325.0,22485.0116,,0.289,0.0
2018-05-31,3.5,125312680.0,20986.0108,,0.2698,0.0
2018-06-30,2.9,106407827.0,17388.4089,,0.2235,0.0
2018-07-31,2.65,99527017.0,15889.4082,,0.2043,0.0
2018-08-31,4.35,287790616.0,26082.6134,,0.3353,0.0
2018-09-30,2.4,198884204.0,14390.4074,,0.185,0.0
2018-10-31,1.9,121738318.0,11392.4059,,0.1464,0.0
2018-11-30,1.95,151667719.0,11692.206,,0.1503,0.0
2018-12-31,2.05,69124547.0,12291.8063,,0.158,0.0
2019-01-31,1.8,50502589.0,10792.8056,,0.1387,0.0
2019-02-28,1.85,67564987.0,11092.6057,,0.1426,0.0
2019-03-31,1.85,116639512.0,11092.6057,,0.1504,0.0
2019-04-30,2.85,116329530.0,17088.6088,,0.2317,0.0
