PI IN Equity,price,volume,mc,pe,bm,div
2023-12-31,3515.9,15629944.0,533425.7311,43.374,7.4102,10.0
2024-01-31,3372.65,6707097.0,511692.1107,41.6068,7.1083,10.0
2024-02-29,3672.7,9706495.0,557215.132,45.3084,7.7407,11.5
2024-03-31,3867.55,6837637.0,581823.8107,34.8899,6.7206,11.5
2024-04-30,3654.1,6888281.0,554393.175,32.9644,6.3497,11.5
2024-05-31,3539.7,9464758.0,537036.6223,31.9323,6.1509,11.5
2024-06-30,3798.75,9305667.0,576339.2008,34.2693,6.6011,11.5
2024-07-31,4430.75,8522029.0,672225.0513,39.9707,7.6993,11.5
2024-08-31,4495.45,7813286.0,682041.2136,40.5544,7.8117,15.0
2024-09-30,4655.75,5807809.0,706361.6279,42.0005,8.0903,15.0
2024-10-31,4488.5,3271694.0,680986.7726,40.4917,7.7996,15.0
2024-11-30,4065.5,5822062.0,616810.0087,36.6757,7.0646,15.0
2024-12-31,3685.65,6997724.0,559179.8816,33.249,6.4045,15.0
2025-01-31,3483.75,6289278.0,528547.9936,31.4276,6.0537,15.0
2025-02-28,3013.95,8284374.0,457270.8217,27.1894,5.2373,15.0
2025-03-31,3428.2,5964525.0,520120.0521,31.387,5.1208,15.0
2025-04-30,3640.2,6155524.0,552284.2931,33.3279,5.4375,15.0
2025-05-31,3823.7,6703429.0,580124.5678,35.008,5.7116,15.0
2025-06-30,4104.7,6846677.0,622757.359,37.5807,6.1313,15.0
2025-07-31,4250.9,3436384.0,644938.5478,38.9192,6.3497,15.0
2025-08-31,3694.8,4622193.0,560568.1024,33.8278,5.519,16.0
2025-09-30,3513.5,3941858.0,533061.6076,32.1679,5.2482,16.0
2025-10-31,3577.4,4381391.0,542756.3953,32.753,5.3437,16.0
2025-11-30,3395.6,5611552.0,515174.0415,31.0885,5.0721,16.0
2025-12-31,3238.2,3936903.0,491293.6097,29.6474,4.837,16.0
2026-01-31,3195.4,3618155.0,484800.0743,29.2556,4.7731,16.0
2026-02-28,3117.3,7178850.0,472950.8892,28.5405,4.6564,15.0
2026-03-31,3084.7,682082.0,468004.8712,28.242,4.6077,15.0
