HUVR IN Equity,price,volume,mc,pe,bm,div
2001-11-30,206.84,10212748.0,461451.8219,,,4.5
2001-12-31,220.18,9991764.0,491212.2797,,,4.5
2002-01-31,217.28,11432398.0,484733.0656,,,4.5
2002-02-28,245.92,14679875.0,549859.7478,,,4.5
2002-03-31,221.85,10664259.0,496040.409,,,4.5
2002-04-30,199.65,18426364.0,446403.3501,,,5.0
2002-05-31,181.98,11335206.0,406891.811,,,5.0
2002-06-30,190.35,11426666.0,425602.0106,,,5.0
2002-07-31,168.35,9181173.0,376405.1917,,,5.0
2002-08-31,183.8,12476372.0,410964.0309,,,5.0
2002-09-30,169.97,9620843.0,380037.1716,,,5.0
2002-10-31,157.81,16546648.0,352852.3522,,,5.0
2002-11-30,169.48,13981363.0,378936.5716,,,5.0
2002-12-31,178.93,10383429.0,400068.0911,,,5.0
2003-01-31,168.2,9224033.0,376075.0117,,,5.0
2003-02-28,166.53,9066291.0,372332.9717,,,5.0
2003-03-31,145.65,9148483.0,325667.5328,,,5.0
2003-04-30,142.11,14870786.0,317743.213,,,5.159
2003-05-31,155.11,11719890.0,346799.0523,,,5.159
2003-06-30,175.68,13876187.0,392804.1313,,,4.424
2003-07-31,167.51,19214277.0,374534.1717,,,4.424
2003-08-31,181.64,22863577.0,406121.391,,,4.265
2003-09-30,180.46,18463526.0,403479.951,,,4.265
2003-10-31,171.89,20281688.0,384329.5115,,,4.265
2003-11-30,175.48,17707378.0,392363.8913,,,4.265
2003-12-31,201.52,31916219.0,450585.63,,,4.265
2004-01-31,185.82,24597041.0,415476.4908,,,4.265
2004-02-29,171.35,18939038.0,383118.8515,,,4.265
2004-03-31,151.86,44573506.0,339535.0925,,,4.265
2004-04-30,139.01,18376502.0,310809.4331,,,4.265
2004-05-31,134.97,19832217.0,301784.5133,,,5.5
2004-06-30,125.32,11467053.0,280218.348,,,5.5
2004-07-31,114.4,24093072.0,255784.5408,,,5.5
2004-08-31,110.26,18686385.0,246539.3164,,,5.5
2004-09-30,123.5,17025992.0,276146.0468,,,5.5
2004-10-31,122.77,10067558.0,274495.1139,,,5.5
2004-11-30,142.31,10740242.0,318189.8052,,,5.5
2004-12-31,141.27,17245558.0,315878.4991,,,5.5
2005-01-31,157.32,49962248.0,351758.7747,,,5.5
2005-02-28,141.82,65116484.0,317089.1833,,,5.5
2005-03-31,129.9,58697893.0,290454.1321,,,5.5
2005-04-30,135.42,45731883.0,302781.098,,,5.5
2005-05-31,141.03,55355338.0,315328.1882,,,5.5
2005-06-30,161.5,85157973.0,361114.0612,,,5.0
2005-07-31,164.06,56849303.0,366837.2953,,,5.0
2005-08-31,162.93,108374704.0,364305.8649,,,5.0
2005-09-30,178.34,72980206.0,398755.3318,,,5.0
2005-10-31,158.95,58118963.0,355390.8271,,,5.0
2005-11-30,179.27,65872557.0,400846.5135,,,5.0
2005-12-31,194.14,65246595.0,434085.2964,,,5.0
2006-01-31,192.22,45341123.0,429792.8708,,,5.0
2006-02-28,239.92,144935051.0,536443.1376,,,5.0
2006-03-31,267.78,100987481.0,598749.2305,,,5.0
2006-04-30,285.01,93191801.0,640618.3447,,,5.0
2006-05-31,229.83,87076192.0,514738.3848,,,5.0
2006-06-30,225.5,94840909.0,505198.8536,,,5.0
2006-07-31,229.09,81234936.0,513275.923,,,5.0
2006-08-31,230.81,93486645.0,517156.4611,,,5.5
2006-09-30,253.16,60524981.0,567263.734,,,5.5
2006-10-31,230.02,94401662.0,515526.5351,,,5.5
2006-11-30,231.55,103819213.0,519001.6453,,,5.5
2006-12-31,213.04,76453994.0,477546.353,,,5.5
2007-01-31,205.02,90025106.0,459561.1276,,,5.5
2007-02-28,173.61,90100215.0,389164.9693,,,5.5
2007-03-31,202.02,89746934.0,452832.4143,,,5.5
2007-04-30,196.21,65593502.0,439821.6238,,,6.0
2007-05-31,200.24,62435812.0,448875.6935,,,6.0
2007-06-30,185.67,64013780.0,416232.6947,,,6.0
2007-07-31,203.54,86005345.0,456292.5052,,,6.0
2007-08-31,205.07,49343268.0,459737.9333,,,6.0
2007-09-30,217.18,65068469.0,486935.0225,,,6.0
2007-10-31,203.84,108578075.0,457104.0727,,,6.0
2007-11-30,203.54,49540445.0,456441.763,,,6.0
2007-12-31,210.38,44647032.0,471785.2709,,,6.0
2008-01-31,205.51,53140865.0,460857.1609,,,6.0
2008-02-29,223.97,49655047.0,495372.8076,,,6.0
2008-03-31,225.25,77689621.0,498309.1395,,,6.0
2008-04-30,246.37,48145754.0,545040.4677,,,6.0
2008-05-31,233.42,54103520.0,516399.9795,,,6.0
2008-06-30,203.94,47171031.0,451229.8483,,,6.0
2008-07-31,235.93,79118223.0,522039.4361,,,6.0
2008-08-31,241.59,56138801.0,534564.8972,,,6.5
2008-09-30,248.34,84488331.0,549593.4442,,,6.5
2008-10-31,218.31,150930805.0,483228.0609,,,6.5
2008-11-30,232.73,90332917.0,515152.7106,,,6.5
