SUNP IN Equity,price,volume,mc,pe,bm,div
2018-11-30,492.6,174622239.0,1181879.729,48.94,2.881,2.0
2018-12-31,430.5,440124291.0,1032885.147,31.3196,2.4868,2.0
2019-01-31,423.45,375953027.0,1015970.303,30.8067,,2.0
2019-02-28,445.15,175109302.0,1068037.413,32.3854,,2.0
2019-03-31,478.85,136221359.0,1148892.992,44.3368,2.7746,2.0
2019-04-30,457.65,77336225.0,1098028.355,42.3739,2.6517,2.0
2019-05-31,409.85,203775615.0,983342.994,37.9481,2.3748,2.0
2019-06-30,400.95,127030605.0,961989.4436,32.101,2.3339,2.0
2019-07-31,426.75,187545519.0,1023890.747,34.1666,,2.0
2019-08-31,450.4,152420957.0,1080633.609,36.0601,,2.75
2019-09-30,389.45,166641821.0,934397.7773,21.5878,2.1534,2.75
2019-10-31,433.4,86060418.0,1039845.928,24.024,2.3965,2.75
2019-11-30,449.85,181463572.0,1079314.007,24.9359,2.4874,2.75
2019-12-31,432.55,109858637.0,1037806.544,25.9474,2.3785,2.75
2020-01-31,434.3,97189862.0,1042005.276,26.0524,,2.75
2020-02-29,372.9,129929474.0,894689.7706,22.3692,,6.0
2020-03-31,352.3,248513557.0,845264.6988,22.4538,1.8674,6.0
2020-04-30,464.45,394166590.0,1114343.427,29.6017,2.4619,6.0
2020-05-31,474.25,209307460.0,1137856.325,30.2263,2.5139,6.0
2020-06-30,472.95,263717771.0,1134737.267,157.1262,2.5549,6.0
2020-07-31,531.7,239918148.0,1275694.693,176.6445,,6.0
2020-08-31,520.25,230918833.0,1248222.99,172.8405,,4.0
2020-09-30,500.45,240267559.0,1200717.339,81.5065,2.664,4.0
2020-10-31,465.75,167312978.0,1117462.695,75.855,2.4793,4.0
2020-11-30,511.65,241830631.0,1227589.453,83.3306,2.7236,4.0
2020-12-31,592.35,237617435.0,1421211.009,58.9403,3.1088,4.0
2021-01-31,586.2,170086527.0,1406455.463,58.3284,,4.0
2021-02-28,594.6,195382049.0,1426609.379,59.1642,,6.5
2021-03-31,597.8,125530171.0,1434287.062,49.4868,3.087,6.5
2021-04-30,654.45,170718200.0,1570206.035,54.1763,3.3796,6.5
2021-05-31,668.3,195527459.0,1603436.004,55.3228,3.4511,6.5
2021-06-30,675.45,90273827.0,1620590.826,27.0396,3.4991,6.5
2021-07-31,773.95,107793337.0,1856919.42,30.9828,,6.5
2021-08-31,794.05,113005466.0,1905144.862,31.7874,,7.5
2021-09-30,818.25,82337399.0,1963207.333,31.5297,3.9632,7.5
2021-10-31,795.0,62522321.0,1907424.174,30.6338,3.8506,7.5
2021-11-30,753.6,80759424.0,1808094.16,29.0386,3.6501,7.5
2021-12-31,845.7,107460979.0,2029067.451,31.5187,4.0417,7.5
2022-01-31,834.5,78215074.0,2002195.563,31.1013,,7.5
2022-02-28,843.9,75723043.0,2024748.755,31.4516,,9.0
2022-03-31,914.75,76872689.0,2194737.437,67.1046,4.5714,9.0
2022-04-30,928.65,39794426.0,2228087.37,68.1243,4.6409,9.0
2022-05-31,860.6,91618912.0,2064816.659,63.1323,4.3008,9.0
2022-06-30,830.6,63900138.0,1992838.388,51.1715,4.1914,9.0
2022-07-31,943.2,64371002.0,2262997.17,58.1085,,9.0
2022-08-31,893.05,58919673.0,2142673.477,55.0189,,10.0
2022-09-30,948.65,75006013.0,2276073.225,55.4766,4.2849,10.0
2022-10-31,1016.9,53160918.0,2439823.815,59.4678,4.5932,10.0
2022-11-30,1046.05,49683481.0,2509762.712,61.1725,4.7249,10.0
2022-12-31,1001.4,59435645.0,2402635.037,57.2229,4.5194,10.0
2023-01-31,1034.5,46614554.0,2482053.143,59.1143,,10.0
2023-02-28,956.6,44647166.0,2295149.383,54.6629,,10.5
2023-03-31,983.1,45393626.0,2358730.251,27.8499,4.2125,10.5
2023-04-30,987.65,34647039.0,2369646.966,27.9788,4.232,10.5
2023-05-31,975.35,64006473.0,2340135.846,27.6303,4.1793,10.5
2023-06-30,1051.6,61777574.0,2523079.01,29.9348,4.3783,10.5
2023-07-31,1143.4,55130516.0,2743332.579,32.5479,,11.5
2023-08-31,1111.6,53216132.0,2667035.591,31.6427,,11.5
2023-09-30,1158.65,43951165.0,2779921.543,32.5192,4.6468,11.5
2023-10-31,1088.6,35690288.0,2611852.235,30.5532,4.3658,11.5
2023-11-30,1225.85,38261513.0,2941152.914,34.4053,4.9163,11.5
2023-12-31,1259.45,40623323.0,3021768.599,33.9203,5.0618,11.5
2024-01-31,1418.45,52272733.0,3403253.539,38.2026,,11.5
2024-02-29,1577.95,53527760.0,3785938.132,42.4983,,12.5
2024-03-31,1620.55,56593942.0,3888147.305,40.6217,6.1072,12.5
2024-04-30,1502.1,58133367.0,3603953.02,37.6526,5.6608,12.5
2024-05-31,1459.8,63583976.0,3502463.63,36.5923,5.5014,12.5
2024-06-30,1520.85,50297811.0,3648939.452,35.1528,5.7141,12.5
2024-07-31,1719.35,44997780.0,4125195.81,39.7409,,13.5
2024-08-31,1821.65,49147693.0,4370641.781,42.1055,,13.5
2024-09-30,1926.7,42072646.0,4622685.763,41.8266,6.6885,13.5
2024-10-31,1848.9,39370095.0,4436022.062,40.1377,6.4184,13.5
2024-11-30,1780.9,39540789.0,4272871.27,38.6614,6.1823,13.5
2024-12-31,1886.35,41639120.0,4525874.962,39.576,6.5399,13.5
2025-01-31,1743.95,45051147.0,4184218.008,36.5884,,13.5
2025-02-28,1593.25,46944506.0,3822647.061,33.4267,,15.5
2025-03-31,1734.7,40591668.0,4162025.049,38.0747,5.7633,15.5
2025-04-30,1832.3,59363915.0,4396194.221,40.2169,6.0875,15.5
2025-05-31,1677.6,68375967.0,4025026.156,36.8214,5.5736,15.5
2025-06-30,1675.7,52910389.0,4020467.531,38.7352,5.6068,15.5
2025-07-31,1706.7,43963237.0,4094845.1,39.4517,,16.0
2025-08-31,1594.5,53431127.0,3825646.284,36.8581,,16.0
2025-09-30,1594.3,62273259.0,3825166.428,36.5997,4.9154,16.0
2025-10-31,1690.7,42592722.0,4056456.677,38.8127,5.2126,16.0
2025-11-30,1831.6,36384487.0,4394514.728,42.0473,5.647,16.0
2025-12-31,1719.7,46653445.0,4126035.694,37.8285,5.3036,16.0
2026-01-31,1595.3,57630044.0,3827568.895,35.092,,16.0
2026-02-28,1737.0,49034051.0,4167546.65,38.209,,16.5
2026-03-31,1782.1,12777167.0,4275754.049,39.2011,,16.5
