GODPI IN Equity,price,volume,mc,pe,bm,div
2012-08-31,5.69,8599620.0,3610.68,4.2841,0.5325,0.125
2012-09-30,6.12,12780700.0,3886.959,4.6119,0.5732,0.125
2012-10-31,5.85,10372060.0,3717.0633,4.4103,0.5482,0.125
2012-11-30,5.95,14118980.0,3775.8123,4.48,0.5568,0.125
2012-12-31,5.87,7091640.0,3729.7658,4.4254,0.55,0.125
2013-01-31,5.39,11837780.0,3420.1428,4.058,0.5044,0.125
2013-02-28,4.55,8572820.0,2886.6387,3.425,0.4257,0.125
2013-03-31,4.13,13631100.0,2623.0622,1.7642,0.3423,0.125
2013-04-30,4.3,6401520.0,2817.0331,1.8368,0.3564,0.125
2013-05-31,4.09,6842260.0,2677.8193,1.746,0.3388,0.125
2013-06-30,3.7,4148320.0,2422.3246,1.5795,0.3065,0.125
2013-07-31,3.3,5171420.0,2160.2746,1.4086,0.2733,0.125
2013-08-31,3.56,6494740.0,2330.6071,1.5196,0.2949,0.125
2013-09-30,3.92,9129840.0,2564.8143,1.6724,0.3245,0.125
2013-10-31,4.08,12133320.0,2672.9099,1.7428,0.3382,0.125
2013-11-30,4.33,20219860.0,2836.6911,1.8496,0.3589,0.125
2013-12-31,4.32,19231480.0,2831.7777,1.8464,0.3583,0.125
2014-01-31,3.81,15089520.0,2494.3883,1.6264,0.3156,0.125
2014-02-28,3.52,5154260.0,2306.0399,1.5036,0.2918,0.125
2014-03-31,4.05,19343020.0,2654.8939,4.5895,0.3072,0.075
2014-04-30,4.29,13611820.0,2807.2105,4.8528,0.3248,0.075
2014-05-31,7.63,99537220.0,4998.6035,8.641,0.5784,0.075
2014-06-30,8.53,49033860.0,5589.8538,9.6631,0.6468,0.075
2014-07-31,7.25,16576080.0,4751.2938,8.2135,0.5498,0.075
2014-08-31,7.8,25616380.0,5111.6126,8.8364,0.5915,0.075
2014-09-30,8.02,62171140.0,5255.7401,9.0855,0.6081,0.05
2014-10-31,7.55,7922560.0,4942.9179,8.5447,0.5719,0.05
2014-11-30,7.12,24420140.0,4662.852,8.0606,0.5395,0.05
2014-12-31,6.52,15001800.0,4271.4148,7.3839,0.4942,0.05
2015-01-31,5.85,27576020.0,3829.2054,6.6195,0.4431,0.05
2015-02-28,6.55,32630820.0,4291.0361,7.4179,0.4965,0.05
2015-03-31,4.83,21937100.0,3160.978,4.7749,0.3419,0.05
2015-04-30,5.17,14597340.0,3388.6339,5.1188,0.3666,0.05
2015-05-31,4.74,13085720.0,3106.9302,4.6932,0.3361,0.05
2015-06-30,4.19,7626100.0,2741.698,4.1415,0.2966,0.05
2015-07-31,3.72,11621940.0,2435.4271,3.6789,0.2635,0.05
2015-08-31,3.45,11693540.0,2261.819,3.4166,0.2447,0.05
2015-09-30,3.65,11476140.0,2391.2061,3.6121,0.2587,0.05
