TCOM IN Equity,price,volume,mc,pe,bm,div
2022-03-31,1228.6,13937462.0,350151.0,23.6315,37.7485,14.0
2022-04-30,1094.5,25967053.0,311932.5,21.0521,33.6283,14.0
2022-05-31,985.05,12595656.0,280739.25,18.9469,30.2654,14.0
2022-06-30,914.25,16549364.0,260561.25,17.5851,28.0901,20.7
2022-07-31,1045.9,17502413.0,298081.5,20.1173,32.135,20.7
2022-08-31,1202.25,17941293.0,342641.25,23.1246,36.9389,20.7
2022-09-30,1150.8,12983665.0,327978.0,22.135,35.3581,20.7
2022-10-31,1258.95,9643365.0,358800.75,24.2152,38.681,20.7
2022-11-30,1300.2,8520934.0,370557.0,25.0087,39.9484,20.7
2022-12-31,1274.45,15266226.0,363218.25,24.5134,39.1572,20.7
2023-01-31,1233.15,15871732.0,351447.75,23.719,37.8883,20.7
2023-02-28,1208.55,5477297.0,344436.75,23.2458,37.1324,20.7
2023-03-31,1245.5,5191355.0,354967.5,19.7636,23.3799,20.7
2023-04-30,1269.5,8774498.0,361807.5,20.1444,23.8304,20.7
2023-05-31,1298.25,9682063.0,370001.25,20.6006,24.3701,20.7
2023-06-30,1594.65,26984452.0,454475.25,25.3039,29.934,21.0
2023-07-31,1796.15,27229341.0,511902.75,28.5013,33.7164,21.0
2023-08-31,1789.1,26488338.0,509893.5,28.3894,33.5841,21.0
2023-09-30,1932.75,17854554.0,550833.75,30.6688,36.2806,21.0
2023-10-31,1663.25,19084526.0,474026.25,26.3924,31.2217,21.0
2023-11-30,1705.55,33032535.0,486081.75,27.0636,32.0157,21.0
2023-12-31,1770.3,17088685.0,504535.5,28.0911,33.2312,21.0
2024-01-31,1737.05,22462415.0,495059.25,27.5635,32.607,21.0
2024-02-29,1923.2,18016637.0,548112.0,30.5173,36.1013,21.0
2024-03-31,2010.4,15280989.0,572964.0,50.9995,32.0733,21.0
2024-04-30,1729.85,16409855.0,493007.25,43.8825,27.5975,21.0
2024-05-31,1778.3,7519824.0,506815.5,45.1116,28.3705,21.0
2024-06-30,1854.45,10416863.0,528518.25,47.0434,29.5853,21.0
2024-07-31,1990.75,14133840.0,567363.75,50.501,31.7598,16.7
2024-08-31,1961.85,7467102.0,559127.25,49.7679,31.2988,16.7
2024-09-30,2134.75,14316877.0,608403.75,54.154,34.0572,16.7
2024-10-31,1774.65,10269421.0,505775.25,45.019,28.3122,16.7
2024-11-30,1755.1,4889056.0,500203.5,44.5231,28.0003,16.7
2024-12-31,1703.4,6458193.0,485469.0,43.2116,27.1755,16.7
2025-01-31,1633.0,8193563.0,465405.0,41.4257,26.0524,16.7
2025-02-28,1352.5,5501586.0,385462.5,34.31,21.5774,16.7
2025-03-31,1578.2,14546617.0,449787.0,27.6732,14.8878,16.7
2025-04-30,1591.4,9410970.0,453549.0,27.9046,15.0124,16.7
2025-05-31,1676.2,9475221.0,477717.0,29.3915,15.8123,16.7
2025-06-30,1690.6,6071411.0,481821.0,29.644,15.9482,25.0
2025-07-31,1724.7,16679030.0,491539.5,30.242,16.2698,25.0
2025-08-31,1548.6,16548023.0,441351.0,27.1541,14.6086,25.0
2025-09-30,1613.3,7005584.0,459790.5,28.2886,15.219,25.0
2025-10-31,1875.4,36570839.0,534489.0,32.8844,17.6915,25.0
2025-11-30,1815.2,5029844.0,517332.0,31.8289,17.1236,25.0
2025-12-31,1825.3,5369185.0,520210.5,32.006,17.2188,25.0
2026-01-31,1570.5,7608607.0,447592.5,27.5381,14.8152,25.0
2026-02-28,1597.5,6754195.0,455287.5,28.0116,15.0699,25.0
2026-03-31,1459.1,735354.0,415843.493,25.5848,13.7643,25.0
