CCLP IN Equity,price,volume,mc,pe,bm,div
2011-08-31,15.34,3383940.0,2040.6803,7.7163,0.9397,0.2
2011-09-30,16.19,17321670.0,2153.7558,8.1439,0.9918,0.2
2011-10-31,16.85,3633900.0,2241.5556,8.4759,1.0322,0.2
2011-11-30,13.68,2318980.0,1819.8505,6.8813,0.838,0.2
2011-12-31,11.61,1155000.0,1544.4784,5.84,0.7112,0.2
2012-01-31,14.22,8913800.0,1891.6867,7.1529,0.8711,0.2
2012-02-29,15.52,9964610.0,2064.6257,7.8068,0.9507,0.2
2012-03-31,13.51,3762240.0,1797.1948,4.9578,0.7496,0.2
2012-04-30,18.31,8345660.0,2435.0592,6.7174,1.0157,0.2
2012-05-31,19.48,4378330.0,2590.7008,7.1468,1.0806,0.2
2012-06-30,23.29,4839340.0,3097.5337,8.545,1.292,0.2
2012-07-31,25.29,6332660.0,3364.2528,9.2807,1.4033,0.2
2012-08-31,25.74,3401710.0,3424.7801,9.4477,1.4285,0.2
2012-09-30,28.49,2274540.0,3789.9392,10.455,1.5809,0.5
2012-10-31,29.71,4442750.0,3952.8973,10.9046,1.6488,0.5
2012-11-30,33.21,11240960.0,4417.8267,12.1872,1.8428,0.5
2012-12-31,32.81,2591050.0,4364.6159,12.0404,1.8206,0.5
2013-01-31,32.91,3042640.0,4377.2534,12.0752,1.8258,0.5
2013-02-28,27.83,3304320.0,3701.4763,10.211,1.544,0.5
2013-03-31,25.71,2454400.0,3420.8151,7.2132,1.2288,0.5
2013-04-30,28.61,1039610.0,3805.9311,8.0252,1.3672,0.5
2013-05-31,27.24,3792730.0,3623.6828,7.641,1.3017,0.5
2013-06-30,29.27,1672500.0,3893.7271,8.2104,1.3987,0.5
2013-07-31,24.99,7317640.0,3323.7025,7.0084,1.1939,0.5
2013-08-31,25.3,3499066.0,3365.6065,7.0968,1.209,0.5
2013-09-30,25.7,924336.0,3418.8176,7.209,1.2281,0.5
2013-10-31,27.4,3525972.0,3644.9651,7.6858,1.3093,0.5
2013-11-30,32.6,3869697.0,4336.7103,9.1445,1.5578,0.5
2013-12-31,41.85,6663967.0,5567.2186,11.7391,1.9999,0.5
2014-01-31,40.2,9089827.0,5347.7225,11.2763,1.921,0.5
2014-02-28,45.05,4471565.0,5992.908,12.6367,2.1528,0.5
2014-03-31,50.85,20381933.0,6764.4699,10.5062,1.9174,0.5
2014-04-30,53.7,16536683.0,7143.5995,11.095,2.0249,0.5
2014-05-31,60.95,15504408.0,8108.0519,12.593,2.2983,0.5
2014-06-30,69.05,17846374.0,9185.5781,14.2665,2.6037,0.5
2014-07-31,69.0,11593886.0,9178.9267,14.2562,2.6018,1.2
2014-08-31,91.0,18360765.0,12105.541,18.8017,3.4314,1.2
2014-09-30,114.4,40540023.0,15218.3945,23.6364,4.3137,1.2
2014-10-31,130.45,22957287.0,17353.4926,26.9525,4.9189,1.2
2014-11-30,146.25,17938512.0,19455.3338,30.2169,5.5147,1.2
2014-12-31,166.0,11534016.0,22082.6353,34.2975,6.2594,1.2
2015-01-31,190.8,10605946.0,25381.7278,39.4215,7.1946,1.2
2015-02-28,168.05,5948520.0,22355.3554,34.7211,6.3367,1.2
2015-03-31,178.8,4496124.0,23785.3927,25.3258,5.642,1.2
2015-04-30,190.75,8987285.0,25375.0764,27.0184,6.0191,1.2
2015-05-31,180.1,6933357.0,23958.329,25.5099,5.6831,1.2
2015-06-30,181.0,7670330.0,24078.0542,25.6374,5.7115,1.2
2015-07-31,243.05,19097808.0,32332.4368,34.4263,7.6695,1.5
2015-08-31,221.7,6237081.0,29492.2907,31.4023,6.9958,1.5
2015-09-30,235.2,3474875.0,31288.1676,33.3144,7.4218,1.5
2015-10-31,216.7,6762093.0,28827.151,30.6941,6.838,1.5
2015-11-30,218.1,2769396.0,29013.3901,30.8924,6.8822,1.5
2015-12-31,218.25,3114843.0,29033.3443,30.9136,6.8869,1.5
2016-01-31,168.65,4143483.0,22435.1593,23.8881,5.3218,1.5
2016-02-29,169.55,6452337.0,22554.8844,24.0156,5.3502,1.5
2016-03-31,193.2,4869624.0,25700.9948,21.0458,5.0414,1.5
2016-04-30,193.1,1450241.0,25687.692,21.0349,5.0388,1.5
2016-05-31,233.4,5793632.0,31048.7174,25.4248,6.0904,1.5
2016-06-30,248.0,3944820.0,32990.925,27.0153,6.4714,1.5
2016-07-31,258.1,2180667.0,34334.5071,28.1155,6.7349,1.5
2016-08-31,272.55,3705060.0,36256.7606,29.6895,7.112,1.5
2016-09-30,261.3,1733405.0,34760.1964,28.4641,6.8184,1.0
2016-10-31,253.2,7618084.0,33682.6703,27.5817,6.607,1.0
2016-11-30,255.1,1427324.0,33935.4233,27.7887,6.6566,1.0
2016-12-31,265.45,1441438.0,35312.2623,28.9161,6.9267,1.0
2017-01-31,299.9,2083242.0,39895.0743,32.6688,7.8256,1.0
2017-02-28,342.6,1866787.0,45575.3666,37.3203,8.9399,1.0
2017-03-31,343.9,2597841.0,45748.3029,33.9822,7.2812,1.0
2017-04-30,341.85,1178739.0,45475.5957,33.7796,7.2378,1.0
2017-05-31,296.4,2207254.0,39429.4766,29.2885,6.2755,1.0
2017-06-30,292.95,1369766.0,38970.5302,28.9476,6.2025,1.0
2017-07-31,283.55,1874050.0,37720.0677,28.0188,6.0035,2.5
2017-08-31,287.6,1234068.0,38258.8308,28.419,6.0892,2.5
2017-09-30,308.05,2754039.0,40979.2519,30.4397,6.5222,2.5
2017-10-31,320.85,1019831.0,42682.0093,31.7045,6.7932,2.5
2017-11-30,315.6,2955922.0,41983.6106,31.1858,6.6821,2.5
2017-12-31,299.5,1116232.0,39841.8611,29.5949,6.3412,2.5
2018-01-31,294.85,3724963.0,39223.2813,29.1354,6.2427,2.5
2018-02-28,296.4,2841141.0,39429.4755,29.2885,6.2755,2.5
2018-03-31,278.5,1574061.0,37048.2757,25.0,5.007,2.5
2018-04-30,312.85,2228903.0,41617.7848,28.0835,5.6245,2.5
2018-05-31,301.2,2563076.0,40068.0095,27.0377,5.4151,2.5
2018-06-30,270.15,945200.0,35937.4926,24.2504,4.8568,2.5
2018-07-31,265.0,3141989.0,35252.3988,23.7882,4.7643,2.5
2018-08-31,285.2,2325216.0,37939.5628,25.6014,5.1274,2.5
2018-09-30,251.45,884591.0,33449.8705,22.5718,4.5206,2.5
2018-10-31,253.15,2146823.0,33676.0179,22.7244,4.5512,2.5
2018-11-30,268.15,1317861.0,35671.4367,24.0709,4.8209,2.5
2018-12-31,269.4,1671089.0,35837.7216,24.1831,4.8434,2.5
2019-01-31,268.05,726785.0,35658.134,24.0619,4.8191,2.5
2019-02-28,280.25,2250238.0,37281.0746,25.1571,5.0384,2.5
2019-03-31,285.0,2201021.0,37912.9572,24.4845,4.5193,2.5
2019-04-30,258.9,2909405.0,34440.9285,22.2423,4.1054,1.75
2019-05-31,257.1,1504015.0,34201.4782,22.0876,4.0769,1.75
2019-06-30,254.6,1432422.0,33868.9084,21.8729,4.0372,1.75
2019-07-31,246.0,941043.0,32724.8683,21.134,3.9009,1.75
2019-08-31,235.7,565880.0,31354.6807,20.2491,3.7375,1.75
2019-09-30,239.3,652026.0,31833.5813,20.5584,3.7946,1.75
2019-10-31,207.0,1881275.0,27536.7794,17.7835,3.2824,1.75
2019-11-30,205.1,1664651.0,27284.0264,17.6203,3.2523,1.75
2019-12-31,201.3,1312365.0,26778.5203,17.2938,3.192,1.75
2020-01-31,225.85,29631444.0,30044.3557,19.4029,3.5813,1.75
2020-02-29,234.4,8280590.0,31181.7444,20.1375,3.7169,2.0
2020-03-31,177.4,6510396.0,23599.153,14.2261,2.5419,8.5
2020-04-30,194.05,5181113.0,25814.0679,15.5613,2.7805,6.75
2020-05-31,212.2,2171190.0,28228.5246,17.0168,3.0406,6.75
2020-06-30,234.6,6724574.0,31208.35,18.8132,3.3615,6.75
2020-07-31,234.35,4336490.0,31175.0931,18.7931,3.358,6.75
2020-08-31,246.5,10089047.0,32791.3823,19.7674,3.532,5.0
