BRGD IN Equity,price,volume,mc,pe,bm,div
2023-05-31,562.6,5315922.0,129809.6269,44.5095,4.0015,1.5
2023-06-30,575.2,5663550.0,132751.8776,45.5063,4.0911,1.5
2023-07-31,591.7,3293763.0,136559.9548,46.8117,4.2084,2.0
2023-08-31,592.8,4807629.0,136848.1622,46.8987,4.2163,2.0
2023-09-30,567.85,4988354.0,131088.4428,44.9248,4.0388,2.0
2023-10-31,615.45,3914816.0,142076.9255,48.6907,4.3774,2.0
2023-11-30,816.25,12464241.0,188499.027,64.5767,5.8055,2.0
2023-12-31,896.75,13720354.0,207089.1301,70.9454,6.3781,2.0
2024-01-31,1025.25,14926761.0,236764.0152,81.1116,7.292,2.0
2024-02-29,1000.95,7165135.0,231318.1847,79.1891,7.1192,2.0
2024-03-31,935.3,9261065.0,216146.5589,47.817,5.9257,2.0
2024-04-30,1032.9,8398279.0,238702.9287,52.8067,6.544,2.0
2024-05-31,1283.6,16248449.0,296639.6352,65.6237,8.1323,2.0
2024-06-30,1348.4,11033545.0,311663.5141,68.9366,8.5429,2.0
2024-07-31,1257.7,9467020.0,290699.4969,64.2996,7.9682,2.0
2024-08-31,1204.55,10086424.0,278468.9916,61.5823,7.6315,2.0
2024-09-30,1417.05,11417865.0,346078.2002,72.4463,8.9778,2.0
2024-10-31,1178.8,8534760.0,287891.7345,60.2658,7.4684,2.0
2024-11-30,1240.9,7845560.0,303092.5227,63.4407,7.8618,2.0
2024-12-31,1243.0,6223135.0,303605.4523,63.5481,7.8751,2.0
2025-01-31,1171.05,7465990.0,286031.5084,59.8696,7.4193,2.0
2025-02-28,947.05,4784970.0,231434.9687,48.4177,6.0001,2.0
2025-03-31,976.65,11268098.0,238668.457,33.9823,4.2328,2.0
2025-04-30,1028.6,6498203.0,251363.7177,35.7898,4.4579,2.0
2025-05-31,1094.4,5987633.0,267501.5436,38.0793,4.7431,2.0
2025-06-30,1109.8,10717255.0,271265.7283,38.6152,4.8099,2.0
2025-07-31,1007.8,10191627.0,246334.1151,35.0661,4.3678,2.0
2025-08-31,923.1,8364625.0,225682.2942,32.119,4.0007,2.5
2025-09-30,896.05,8643603.0,219069.028,31.1778,3.8835,2.5
2025-10-31,1037.7,9435476.0,253700.0506,36.1065,4.4974,2.5
2025-11-30,895.1,6123592.0,218850.4042,31.1447,3.8794,2.5
2025-12-31,885.0,6073501.0,216380.9716,30.7933,3.8356,2.5
2026-01-31,754.6,12361329.0,184498.3968,26.2561,3.2704,2.5
2026-02-28,694.05,8134982.0,169760.0937,24.1493,3.008,2.5
2026-03-31,670.5,1303856.0,163999.9176,23.3299,2.9059,2.5
