ESCORTS IN Equity,price,volume,mc,pe,bm,div
2008-08-31,81.35,17792869.0,6869.0558,,0.7332,0.0
2008-09-30,60.0,4577204.0,5066.2981,,0.5165,0.0
2008-10-31,35.8,4066780.0,3118.1084,,0.3082,0.0
2008-11-30,31.9,3270599.0,2778.4262,,0.2746,0.0
2008-12-31,40.05,9350816.0,3488.2749,,0.3448,0.0
2009-01-31,36.7,4378227.0,3196.4966,,0.3159,0.0
2009-02-28,33.9,2698237.0,2952.6222,,0.2918,0.0
2009-03-31,35.25,10415511.0,3070.2045,,0.3035,0.0
2009-04-30,40.55,58141295.0,3531.8239,,0.3491,0.0
2009-05-31,65.55,58498930.0,5709.2739,,0.5643,0.0
2009-06-30,57.85,56659616.0,5038.6193,,0.498,0.0
2009-07-31,73.1,54789221.0,6366.8638,,0.6293,0.0
2009-08-31,72.3,34246497.0,6297.1854,,0.6224,0.0
2009-09-30,110.4,87870039.0,9615.6192,31.0986,0.6238,0.0
2009-10-31,106.0,76330446.0,9232.388,29.8592,0.5989,0.0
2009-11-30,113.65,36729116.0,10309.135,32.0141,0.6421,0.0
2009-12-31,132.3,45829039.0,12000.8673,37.2676,0.7475,0.0
2010-01-31,123.85,43103290.0,11234.372,34.8873,0.6998,0.0
2010-02-28,129.9,18873522.0,12252.3107,36.5915,0.7339,1.0
2010-03-31,149.0,28143543.0,14053.8437,41.9718,0.8419,1.0
2010-04-30,179.45,37586925.0,16925.9211,50.5493,1.0139,1.0
2010-05-31,178.15,21077775.0,16892.3787,50.1831,1.0066,1.0
2010-06-30,191.8,13934514.0,19452.7785,54.0282,1.0837,1.0
2010-07-31,195.7,16476312.0,19848.3251,55.1268,1.1057,1.0
2010-08-31,193.55,18368654.0,19996.8506,54.5211,1.0936,1.0
2010-09-30,214.95,22467388.0,22702.5883,13.6044,1.3466,1.0
2010-10-31,220.7,14779069.0,23309.8918,13.9684,1.3826,1.0
2010-11-30,190.05,15406997.0,20072.7002,12.0285,1.1906,1.0
2010-12-31,172.25,23476201.0,18192.6998,10.9019,1.0791,1.0
2011-01-31,131.45,18338093.0,13883.4856,8.3196,0.8235,1.0
